iter	Passed	Remaining
1260	2742146	1607015
1261	2744263	1604807
1262	2746550	1602698
1263	2748823	1600581
1264	2751083	1598455
1265	2753134	1596209
1266	2755388	1594080
1267	2757523	1591882
1268	2759766	1589747
1269	2761942	1587573
1270	2764027	1585346
1271	2766212	1583178
1272	2768466	1581048
1273	2770634	1578870
1274	2772929	1576763
1275	2775332	1574718
1276	2777594	1572592
1277	2779764	1570414
1278	2781889	1568211
1279	2784006	1566003
1280	2786308	1563899
1281	2788557	1561766
1282	2790609	1559522
1283	2792792	1557351
1284	2794982	1555184
1285	2797197	1553032
1286	2799321	1550828
1287	2801646	1548736
1288	2803844	1546573
1289	2806033	1544406
1290	2808164	1542206
1291	2810501	1540120
1292	2812876	1538054
1293	2814984	1535841
1294	2817066	1533615
1295	2819257	1531448
1296	2821507	1529313
1297	2823582	1527083
1298	2825735	1524896
1299	2827962	1522749
1300	2830161	1520586
1301	2832286	1518384
1302	2834389	1516169
1303	2836685	1514058
1304	2838899	1511904
1305	2841128	1509757
1306	2843392	1507629
1307	2845676	1505510
1308	2848007	1503417
1309	2850116	1501206
1310	2852486	1499132
1311	2854584	1496916
1312	2856716	1494717
1313	2858925	1492559
1314	2860965	1490313
1315	2863119	1488125
1316	2865288	1485947
1317	2867519	1483800
1318	2869640	1481596
1319	2871793	1479408
1320	2873884	1477189
1321	2876163	1475067
1322	2878265	1472853
1323	2880429	1470672
1324	2882888	1468641
1325	2885109	1466488
1326	2887289	1464314
1327	2889570	1462192
1328	2891842	1460064
1329	2894138	1457949
1330	2896329	1455780
1331	2898397	1453550
1332	2900677	1451426
1333	2903034	1449341
1334	2905146	1447133
1335	2907288	1444939
1336	2909402	1442733
1337	2911655	1440595
1338	2913850	1438427
1339	2916102	1436289
1340	2918231	1434089
1341	2920347	1431884
1342	2922585	1429738
1343	2924736	1427549
1344	2926840	1425338
1345	2928997	1423153
1346	2931238	1421008
1347	2933415	1418833
1348	2935628	1416674
1349	2937732	1414463
1350	2939923	1412294
1351	2942150	1410143
1352	2944374	1407989
1353	2946680	1405875
1354	2949073	1403802
1355	2951192	1401598
1356	2953322	1399400
1357	2955516	1397232
1358	2957831	1395121
1359	2959977	1392930
1360	2962236	1390792
1361	2964452	1388634
1362	2966817	1386546
1363	2968966	1384356
1364	2971171	1382193
1365	2973380	1380031
1366	2975491	1377824
1367	2977700	1375662
1368	2979889	1373491
1369	2982170	1371362
1370	2984300	1369164
1371	2986569	1367030
1372	2988626	1364798
1373	2990997	1362710
1374	2993258	1360572
1375	2995515	1358431
1376	2997679	1356248
1377	2999829	1354059
1378	3001994	1351877
1379	3004147	1349689
1380	3006385	1347539
1381	3008548	1345356
1382	3010774	1343201
1383	3012938	1341019
1384	3015333	1338938
1385	3017660	1336827
1386	3019978	1334712
1387	3022071	1332498
1388	3024556	1330456
1389	3026569	1328206
1390	3028785	1326046
1391	3030843	1323816
1392	3032948	1321607
1393	3035041	1319393
1394	3037135	1317180
1395	3039409	1315045
1396	3041475	1312820
1397	3043713	1310669
